ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Ref_ID,Street_ID,Xmin,Xmax,Ymin,Ymax,User_fld,Addr_type,Side,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,StAddr,City,County,State,StateAbbr,RegionAbbr,ZIP,Country,LangCode,Distance,DisplayX,DisplayY,StreetID,ARC_SingleLine,Address_Text,Matched,Match_Score,Match_Text,Match_Type_1,Match_Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match_Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip_1,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address1,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
21,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,82 Liverpool Street 02128,82 Liverpool Street 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,82 Liverpool Street,82 Liverpool 02128,82,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,100 Liverpool Street 02128,100 Liverpool Street 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,100 Liverpool Street,100 Liverpool 02128,100,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,88 Liverpool Street 02128,88 Liverpool Street 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,88 Liverpool Street,88 Liverpool 02128,88,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Range_test2,M,90,A,"27 Creighton St 8 8, Jamaica Plain, 176422, 02130",346740,1058,0,0,0,0,"27 Creighton St #8, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,27 Creighton Street 02130,27 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"27 Creighton Street, #1 Unit","27 Creighton Street, Unit 1 NA",27,"Creighton Street, Unit 1",8,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Range_test2,M,90,A,"27 Creighton St 8 8, Jamaica Plain, 176422, 02130",346740,1058,0,0,0,0,"27 Creighton St #8, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,27 Creighton Street 02130,27 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"27 Creighton Street, #2 Unit","27 Creighton Street, Unit 2 NA",27,"Creighton Street, Unit 2",9,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Range_test2,M,90,A,"25 Creighton St 5 5, Jamaica Plain, 176422, 02130",346736,1058,0,0,0,0,"25 Creighton St #5, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,25 Creighton Street 02130,25 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #2 Unit","25 Creighton Street, Unit 2 NA",25,"Creighton Street, Unit 2",10,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Range_test2,M,90,A,"25 Creighton St 5 5, Jamaica Plain, 176422, 02130",346736,1058,0,0,0,0,"25 Creighton St #5, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,25 Creighton Street 02130,25 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #1 Unit","25 Creighton Street, Unit 1 NA",25,"Creighton Street, Unit 1",7,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Range_test2,M,90,A,"25 Creighton St 5 5, Jamaica Plain, 176422, 02130",346736,1058,0,0,0,0,"25 Creighton St #5, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,25 Creighton Street 02130,25 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #3 Unit","25 Creighton Street, Unit 3 NA",25,"Creighton Street, Unit 3",6,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Range_test2,M,90,A,"25 Creighton St 5 5, Jamaica Plain, 176422, 02130",346736,1058,0,0,0,0,"25 Creighton St #5, Jamaica Plain",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,25 Creighton Street 02130,25 Creighton Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #4 Unit","25 Creighton Street, Unit 4 NA",25,"Creighton Street, Unit 4",5,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,73 Hano Street 02134,73 Hano Street 02134,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Hano Homes II (AKA: 81 Hano Street),73B Hano St.,73 B Hano 02134,73 B,Hano,73 B,02134,2201738000,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,91 Hano Street 02134,91 Hano Street 02134,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Hano Homes II (AKA: 81 Hano Street),91B Hano Unit 1,91B Hano 02134,91B,Hano,1,02134,2201738000,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,57 Edgewood Street 02119,57 Edgewood Street 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),57 Edgewood Street,57 Edgewood 02119,57,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Range_test2,M,93,A,"59 Edgewood St, Roxbury, 220604, 02119",421451,1336,0,0,0,0,"59 Edgewood St, Roxbury",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,59 Edgewood Street 02119,59 Edgewood Street 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),59A Edgewood Street,59A Edgewood 02119,59A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
